Treatment;ClutchN;Age;Stage;comst;groupst;DecimaClocklHours;AccumshakingtimeRup1Fra;AccumShakingR1sec;NumPosChanADBefore2ndHole;AccumADshakingR;AccumshakingtimeRup2Fra;AccumShakingR2sec;DisEndRup2Fr;DisEndHatchingStartFr;CompDurFr;CompressionSec;CompressionSeen;EXITDURATIONFr;EXIT DURATION StarttoFullyOutsec;NumHoles;FirstSecondHoleExit;Rescue;;
Jiggling;161;5;7;6-7;4-7;11,13;59;1,97;5;;80;2,67;197;216;;;0;4;0,133333333;2;Second;0;;
Jiggling;161;5;7;6-7;;11,22;80;2,67;0;;278;9,27;307;325;;;0;;;2;Second;0;;
Jiggling;161;5;7;6-7;4-7;11,32;313;10,43;0;;267;8,90;206;272;6;0,20;1;20;0,666666667;2;Second;0;;
Jiggling;111;5;7;6-7;;11,35;171;5,70;0;;220;7,33;324;1104;;;0;;;2;Second;0;;
Jiggling;111;5;7;6-7;4-7;11,50;192;6,40;0;;233;7,77;212;235;;;0;106;3,533333333;2;Second;0;;
Jiggling;25;5;7;6-7;4-7;11,52;415;13,83;0;;514;17,13;1036;1036;;;0;34;1,133333333;2;Second;0;;
Jiggling;114;5;7;6-7;4-7;11,63;67;2,23;1;;368;12,27;445;445;;;0;1;0,033333333;2;Second;0;;
Jiggling;18;5;7;6-7;4-7;11,72;153;5,10;0;;171;5,70;157;177;;;0;2;0,066666667;2;Second;0;;
Jiggling;158;5;7;6-7;4-7;11,85;255;8,50;0;;246;8,20;815;815;;;0;5;0,166666667;2;Second;0;;
Jiggling;158;5;7;6-7;4-7;11,90;244;8,13;2;;90;3,00;;1547;;;0;4;0,133333333;2;Second;0;3 holes;
Jiggling;18;5;7;6-7;4-7;11,95;133;4,43;0;;186;6,20;169;237;;;0;41;1,366666667;2;Second;0;;
Jiggling;158;5;7;6-7;4-7;12,00;134;4,47;0;;325;10,83;328;328;;;0;710;23,66666667;2;Second;0;;
Jiggling;71;5;7;6-7;4-7;12,12;73;2,43;0;;186;6,20;130;195;48;1,60;1;;;2;Second;0;;
Jiggling;22;5;7;6-7;4-7;12,48;418;13,93;8;;3;0,10;4318;4318;;;0;39;1,3;2;Second;0;;
Jiggling;42;5;7;6-7;;12,85;127;4,23;2;;0;0,00;1164;1164;;;0;;;2;Second;0;;
Jiggling;43;5;7;6-7;4-7;13,33;275;9,17;0;;431;14,37;462;506;;;0;8;0,266666667;2;Second;0;;
Jiggling;43;5;7;6-7;4-7;13,48;246;8,20;0;;51;1,70;60;60;;;0;5;0,166666667;2;Second;0;;
Jiggling;19;5;7;6-7;4-7;13,88;70;2,33;0;;;;1840;1839;;;0;43;1,433333333;2;Second;0;;
Jiggling;164;5;7;6-7;;15,02;205;6,83;0;;93;3,10;743;900;;;0;;;2;Second;0;;
Jiggling;164;5;7;6-7;4-7;15,23;0;0,00;0;;0;0,00;762;762;;;0;5;0,166666667;2;Second;0;;
Jiggling;164;5;7;6-7;4-7;15,37;14;0,47;0;;0;0,00;315;384;;;0;1157;38,56666667;2;Second;0;;
Jiggling;165;5;7;6-7;4-7;15,72;88;2,93;0;;0;0,00;1331;2545;;;0;2856;95,2;2;Second;0;;
Jiggling;165;5;7;6-7;4-7;15,83;80;2,67;0;;234;7,80;295;296;;;0;15;0,5;2;Second;0;;
Jiggling;165;5;7;6-7;4-7;15,85;135;4,50;0;;199;6,63;183;228;;;0;18;0,6;2;Second;0;;
Jiggling;165;5;7;6-7;4-7;15,92;369;12,30;0;;127;4,23;378;381;;;0;10;0,333333333;1;Second;0;;
Flooding;467;3;3;2-3;;18,73;204;6,80;25;;;;9226;;;;;;;2;Rescue;1;;
Flooding;440;3;2;2-3;;19,47;1252;41,73;10;;;;;;;;;;;1;Rescue;1;;
Flooding;464;3;2;2-3;;20,68;0;0,00;23;;;;;;;;;;;1;Rescue;1;;
Flooding;436;3;2;2-3;;21,47;1079;35,97;24;;;;;;;;;;;1;Rescue;1;;
Flooding;468;3;3;2-3;;22,32;1178;39,27;20;;;;;;;;;;;1;Rescue;1;;
Flooding;464;3;2;2-3;;22,65;81;2,70;61;;;;;;;;;;;1;Rescue;1;;
Flooding;451;3;3;2-3;;22,85;723;24,10;26;;;;;;;;;;;1;Rescue;1;;
Flooding;428;3;2;2-3;;23,75;132;4,40;19;;;;;;;;;;;1;Rescue;1;;
Flooding;435;4;2;2-3;;0,27;52;1,73;2;;;;;;;;;;;1;Rescue;1;;
Flooding;110;4;2;2-3;;19,87;151;5,03;16;;;;;;;;;;;1;Rescue;1;;
Jiggling;298;4;5;4-5;;15,80;980;32,67;16;;;;;;;;;;;1;Rescue;1;;
Jiggling;274;4;5;4-5;;16,83;125;4,17;0;;;;;;;;;;;1;Rescue;1;;
Jiggling;296;4;5;4-5;;24,55;77;2,57;13;;;;;;;;;;;1;Rescue;1;;
